reviews,predicted_sentiment
stayed 2 night room amazing sliding door patio beautiful view mountain get sunrise wont regret bed super big comfortable 2 sink vanity walk closet made stay convenient,positive
pleasant room carpet flooring bit disgusting need serious steam cleaning bed expected comfortable,positive
staff great,positive
stayed comfort suite across parking lot harrahs bossier city la last month new establishment plus u expect cleanliness room spotless comfort affordability great place lay head night stylish quite comfortable couple amenity,positive
spent 3 night little paradise boutique hotel motherdaughter trip wonderful relaxing experience clean newly redone room well equipped spacious perfect location main street quiet neighborhood close downtown palm spring pool area nice gas fire pit area lot comfy chaise lounge,positive
irapuato three night decided stay hotel proximity church wedding reception venue location couldnt better right across cibeles mall happen miss complimentary breakfast there convenient starbucks right outside hotel people reception friendly offered ride church one hotel shuttle drop found complementary gave driver tip area feel safe one wealthier part irapuato room clean pillow felt quite comfortable ac quiet tv right size room concerned review noise thin wall didnt hear guest perhaps requested room 5th floor maybe werent many guest case pleased pretty quiet also im glad get mix chilaquiles complimentary breakfast area keep egg salsa tortilla chip separate good international traveler used spicy food companion enjoyed healthy option like yogurt fruit overall great value,positive
love old town much activity great restaurant,positive
need place crash heading yosemite nice amazingly quiet,positive
daily cleaning roomservice clean quiet,positive
nice inexpensive room affluent area decent breakfast helpful staff room simple clean functional tahoe enjoying beauty room downside property fault drunk obnoxious wedding party came back room woke whole property personal jerry springer episode headliner room right next u sheriff called took care situation employee notified next morning extremely apologetic party clause fee sign hopefully property enforced,positive
hotel clean staff helpful excellent breakfast morning lot variety food nice comfortable bed nicely room decor staff well manager hotel excellent stay let know clean hotel,positive
atayed hotel 7376 room old smelly bathtub broken toilet seat burned water presure incosistent carpet old dirty room service came one time made bed bed cheerio baby toy change towel clean bathroom water pool cold lot noise around pool make stay relaxing charged 220 per night shame rip hard working american people bc wanted celebrate important holiday july 4th room worth 30 would recomend hotel anyone,negative
went play pickleball hotel opening 12 new court 5th floor near swimming pool,positive
wonderful stay great staff convenient location nice happy hour beautiful accommodation well back,positive
pool bit cold,positive
college national soccer tournament 3 minute away hotel ramp 385 3 exit 240 memphis airport 18 minute away,positive
hotel staff amazing time checked left everyone friendly informative around genuinely nice,positive
da hotel war im groen und ganzen ordnung nur die umgebung mit der baustelle war nicht prickelnd,positive
room say minihome perfect comfortable unlike hotel cant wait get leave day even pleasure stay hotel,positive
wall door needed wiped point towel terrible worst ever hotel motel,negative
good location 5 min city center room new clean staff nice efficient perfect short stay,positive
helpful truck door left open told could shut door lock door,negative
un hotel con do camas c��modas ba��os todo bien lo ��nico que falto fumigar hab��a cucarachas porque la gente deja alimentos abiertos ten��a cocineta esta bien para el precio esta excelente,positive
good time nice close shopping friendly service charged extra 100 explanation call get figured,positive
old hotel fresh coat paint mostly booked hotel cheapest town room bad bath tub water brown rust first second turn elevator also old need replaced slow falling apart creaky honestly little scary hotel staff nice though free breakfast breakfast best banana green black small pastry cereal dispenser dont work reconstituted coffee free,neutral
loved itgreat location great price,positive
walked place smelled kind funny like cinnamon air freshener plus already headache arrived didnt helpthe room seemed kind dated wouldnt paid price thatthe wifi excellent breakfast good service friendly clean,neutral
arrived didnt hotel reservation front desk receptionist good job finding reservation website offer breakfast thing toast bagel ran construction work sign saying careful overall clean room good help,negative
stay nice peaceful,positive
room nice stayed previously however poor wifi connection cause stay addition bathroom fan loud came light opted turn light wake kid,negative
hostel expecting much thats got six day bit much deal great mattress sub par water pressure shower location great walking distance lot great restaurant bar sight also close transit go back,positive
great stay different pillow would made stay even better,positive
pleasantly surprised quality hotel casino review posted negative bit nit picky area gorgeous drive fantastic hotel inviting casino well decorated husband said felt like glitzy cruise ship room,positive
relaxing pet friendly hotel ever enjoyed wonderful staff 3 dog loved location perfect bed comfy didnt want go home always choose laquinta visiting washington,positive
stayed 5 day visiting friend room basic clean comfortable staff nice high end hotel perfectly comfortable clean,positive
personnel sympathique et serviable bien situ�� proche de restaurant de alexandria le enfants ont appr��ci�� la piscine et la salle de musculation,positive
loved grilled kobe dog definition gourmet comfort food served slow dough pretzel bun thats deep fried give extra oomph crispness read,positive
horrible stay room outdated old everything dirty toilet sink plumbing problem ran night long bubbled like backing going overflow hallway smelly dark grungy never stay,negative
nice place shopping eating near hotel everything ok easy go everywhere,positive
need little work pancake overall stay good,positive
show seattle huge pile gear premier meru staff helpful greeted open arm throughout stay front desk crew hotel deca exceeded expectation thank daniel indira andrea great crew best 7g7,positive
nice hotel great location good service enjoyed stay met expectation wife liked rustic decor bedspread issue would stay,positive
quick stop sleep bone building little old clean comfortable ive stayed location twice past 6 month time pleased value money,positive
bottom floor meant could hear foot step upstairs guest,neutral
quick shower nap missed connection,positive
everything needed,positive
everything great checkin went smooth even got warm cookie gift nice lounge nice bar room good sized clean get much pay awesome would stay hotel doubt,positive
hotel nice room near airport food restaurant around breakfast free nice bed bit smaller expected staff nice lady explain u go long take u,positive
time new towel renovation linen one bed wasnt clean stain didnt look clean,negative
impressed staff hotel pleasant helpful personable room quiet spacious nice veiw decor ordinary hotel nice tv large widescreen hd set perhaps best part hotel surronding area old town alexandria va neat interesting place local friendly shop cool clean easy access subway,positive
beautiful view limited resturant choice room service slow,positive
pet felt like put basemen breakfast available coffetea day great,positive
hotel great family hidden gem town pool hit kid age breakfast great staff friendly helpful returned many time convenient location,positive
clean hotel good attention parking lot small event good option food good event hall need update waitress need little guideness serve,positive
stayed hotel two night place ok value money pool area great personal friendly helpful room ok hotel location fine relation beach cherry grove recommendable get major route enjoyed stay,positive
went relax pool dirty day hot tub worked pool didnt variety complimentary breakfast great enough get going,positive
pillow lumpy stuffing stuck together area bare spot area last pillow used like cost 5 walmart,positive
front desk person wonderful got lost new street old gps 1 bedroom suite great fireplace pool long enough lap breakfast first class right highwaythank compliment strive excel service rewarding know met need exceeded making stay pleasant possible,positive
arrived 800pm cold evening hotel quiet desk clerk new know electrical hookup car offered check manager receive confirmation upon arriving even checking look someone assist u bell front desk would convenience staff guest,negative
ive stayed many holiday inn family oriented hotel good location thing fan dating hotel everything especially hallway extremely outdated staff friendly highly priced hotel getting however area really werent many hotel choose,positive
dont miss blowfish sushi restaurant right valencia,positive
yummiest free cooky,positive
excellent quiet country location 5 10 minute away starved rock state park easy drive building ground charming beautiful breakfast day ample excellent bedding soft good night sleep better second night removing feather bed top sharon kevin maintenance man friendly polite helpful,positive
first saw lakeway resort spa knew place wanted get married vista ballroom stunning simple view amazing dont know would done without julie much help day ran smoothly making sure read everything order julie spectacular phenomenal job view service food perfect everything cheif cooked delicious high standard make wedding day one remember loved everything lakeway resort spa people food environment beautiful suite give wedding night around welcoming receive recommend place bride,positive
arrived hotel 30 day stay treated like king must say m lynnette hotel manager really staff working hard going extra mile customer head housekeeper m lisa really pay attention lady cleanthe room personally came room 230pm,negative
really great place stay good price surely come back,positive
checked around 2am one person ahead took 25 30 mind check front desk clerk deeply engaged personal conversation guest checking neither one concerned waiting check,negative
updated hotel great breakfast friendly helpful staff issue would stay good location well near freeway restaurant recommend entire chain allow pet charge,positive
came town see joshuadtv nashville stayed franklin close family hotel one indoor pool great weekend clean hotel exceptional customer service,positive
arrived la hotel booked found place looking motel booked line booking arrived staff helpful checked quickly room self nice little kitchenette twin bed plenty space bathroom nice,positive
really surprised nice hotel many amenity great breakfast,positive
spent 4 night past week exceptional experience check friday night quick painless always greeted smile hello front desk staff entering leaving hotel room clean comfortable housekeeping team made sure always everything needed,positive
visit cielo wine bar 7th floor,positive
cet tablissement est un havre de paix il est entour dun parc superbe et est long par la gironde paisible estuaire de la garonne laccueil est charmant que ce soit au spa au golf ou au restaurant nous avon pas un sjour de 24 heures seulement et nous retournerons avec le plus grand plaisir jajoute que le restaurant est dlicieux et dun excellent rapport qualitprix,positive
didnt get chance even stay establishment front desk receptionist unwelcoming rude wasnt impressed anything furious anything booooo,negative
room compact clean bed excellent,positive
went party 20 winefood extraveganza nice enough charge corking fee two best waiter ever seen working u never felt need anything food came prompt proper temp oh tasty absolutely best well done burger ever eaten dry way appetizer die defn visiting hot spot park underground lot lot cheaper valet would recommend,negative
would recommend hotel room nasty smelling fridge cleaned,negative
hostel sense good environment meet people hostel basic fair well located opinion way expensive considering also transitional shelter,positive
okay access wifi becoming kimpton member involves writing book giving substantial amount data data apparently worth 1299 kimpton since thats charge 24 hour access found insulting paying kind money room almost lesser chain would provide free fortunately cafe nearby dont data plan need check flight valet parking disaster disorganized go find car waiting sidewalk long,neutral
newly renovated new clean carpet new wallpaper paint comfy bed nice pool area breakfast nice sized room internet friendly staff food close would definitely stay hotel,positive
great location great staffbeautiful room couldnt asked stayed many place aspen favorite highly recommend place anyone looking great access beautiful decor,positive
problem looking pool open 1010 change time noon9pm surgery arm needed pool jacuzzi help water workout spending time family,positive
hotel near 44 star rating staff friendly room clean hotel outdated wasnt family friendly people smoking swimming pool horrible u couldnt believe hampton inn didnt closet curtain hook behind overall youre looking nice getaway dont go youre looking somewhere stay night bad,negative
trip home chicago decided time drive straight needed find motel would accept diabetic dog super 8 one friendly staff comfy bed free wifi great space take dog walk dinner back,positive
todo perfecto excepto la cola para el checkin eso finale de septiembre en plenum temporada debe ser insoportable todo lo dems perfecto,positive
best room town nice location clean property,positive
great complete hotel conveniently located downtown beautiful location river nice walk along river reasonable cost good restaurant,positive
wonderful job helping routing correct room hotel expectation surprised new renovation absolutely staying red roof inn future,positive
always consistent staying hyatt place,positive
loved relaxing get away,positive
pool nice younger child room little small microwave dirty inside breakfast good,positive
little dated internet exceptionally slow included receptionist speak little english,neutral
arrived room sunflower seed carpet half empty beer bottle fridge long black hair pillow taking stuff car last day checked yet went back room cleaning lady room cell phone young boy sitting floor watching television told checked yet 2 hour needed check even taken thing room yet leave stood outside room talked person front desk seem concerned otherwise breakfast great pool hot tub nice area good rest hotel looked pretty good well,neutral
person need place sleep night everything ok one chair sit comfortable need something besides wood office chair person relax,positive
nice location close cute little town limo service town nice added value stay one night get enjoy pool hot tub looked nice get complimentary continental breakfast morning continuing,positive
spacious room glorious view surprised see iron board included blow drier hair,positive
amazing stay cant ask better hotel,positive
liked heated pool breakfast,positive
hotel right next i10 convenient one night road trip room modern comfortable breakfast one poorest offering similarly priced hotel,positive
nice place elevator little sketchy,positive
soon walk hotel greeted nice friendly staff hotel located near best restaurant provide easy access mall store room clean enjoy atmosphere quite,positive
let start saying travel lot half time dog lot experience compare hotel get dog friendliness labrador chihuahua typically dog friendly place weight restriction hotel blanket 100 pet friendly policy absolutely awesome also,positive
quite place,positive
two observation arrived late 1130 pm immediately ordered room servece food finally arrived 1am wait called several time ended word people front desk used mini bar every day kept running tally everything drank check time big discrepancy able settle front desk thinghs consideredwe would definitely go back,positive
hot tub gone grab cheese plate head fire pit,negative
first stumbled motel taking long ride investigate somewhere new tripped pure gold first time stayed older room wonderful time decided go back three month later second stay absolutely amazing handicapped,positive
encore dans un hotel pour la nuit naura pa de facile,positive
2 night hall could use lighting make itore cheerful room view water lovely staff gave good advice sightseeing good location,positive
possibly nicest la quinta ever stayed service excellent room great breakfast wasnt fyi dennys next door exceptional one year pleasant surprise,positive
check hotel turned cover hair pubis sheet,negative
wowi hear eddie murphy love place,positive
need hot tub bed comfortable best night sleep ive hotel room warm welcoming staff,positive
food hotel pricy good bit surprising many good restaurant near staff reception professional helpful view room lobby beautiful hotel decoration design pleasant,positive
nice hotel great staff clean room facility,positive
hotel convenient kind shopping right freeway room clean kid happy swim poolit closed 10 nice getting energy car lighting wasnt great couldnt tell pool water,positive
absolutely best place around telluride stay location view second none staff attentive helpful restaurant bar called view incredible varied menu name describes stayed many place around area none would compare,positive
stayed studio apartment residence inn month room spacious sufficient one person loved extremely private guest ordered pizza local store made sure give approval sending complimentary breakfast delicious,positive
chose hotel 100 cheaper holiday inn express always stayed heater either pumping hot air intolerable totally room freezing december bathroom clean room smelled mustiness oh heater rattled horrible night sleep next time extra 100 seems like way go,negative
abbiamo trascorso tre notti questo hotel e ci siamo trovati molto bene sapevamo che la posizione non era molto centrale visto il periodo si poteva raggiungere facilmente il centro ed il lungo mare auto senza problemi di parcheggio ogni caso anche con una lunga passeggiata circa 12 os si pu arrivare centro personale tutto molto gentile unico neo ci capitata una stanza un po rumorosa,positive
personable staff clean super free breakfast,positive
terrible hotel room tiny front desk awful rude arrogant ruined trip paris watch bill item added order,negative
extremely pleasingcozy friendly family vibe still professional excellent work staff particular charles man wonderful employee kind extremely helpful seemed like truly good human patient polite hard working employee whatever paying isnt enough thanks hotel deca couldnt,positive
extremely well run efficient hotel good facility stayed spring shame outdoor pool werent heated pretty happy good value money,positive
kind eccentric hotel comfortable reasonably priced area short walk site ni old town pet friendly pet floor people like u arent love everyone el dog great service definitely big box hotel definitely give another visit next time alexandria,positive
booking room day prior snd calling hour arrived confirm hotel room requested one king bed available traveled 13 hour room front desk associate able locate room different establishment family sleep filthy roach motel book la quinta ever,negative
ask room pool view view sad looking tree parking lot,positive
ok power city wide front desk guy rude,neutral
stayed overnight close miami airport price paid expectation la quintas weve stayed,positive
stayed one night room nice clean comfortable also quiet breakfast good definitely stay,positive
perfect view 2nd floor amazing view wildlife best place ever stayed,positive
clean quiet convenient location extended breakfast hour,positive
fantastic stay definitely coming back,positive
greatest experiencethe parking horrendousand seemed carethere would plenty parking strip mall employee front inn used inn parking lot parkingand night three place parkat least 10 car parking fire lane informed staff wasnt one responded idea would get immediately,positive
comodo accesible el lugar cuenta con lo necesario para una visita,positive
clean room comfortable mattress priced right,positive
amazing night presidential suite great view room lovely id even like specially thank staff member charles bonnerwho went beyond call duty make sure enjoyable fun evening still respectful hotel patron,positive
good went fisher food left early breakfast,positive
large room comfortably accommodates three guest breakfast buffet included rate excellent staff knowledgeable helpful,positive
superior king comfortable especially pet traveling hotel recently upgraded clean give voucher mcdonalds breakfast next door ask room back side away i90,positive
hotel clean modern staff helpful friendly breakfast coffee fresh staff accommodating rented king suite sofa bed clean spacious hotel nicest part town seemed safe problem,positive
family 5 traveling monterey hotel way expensive enter 5 guest want get 2 room hotel 2 king bed could easily sleep comfortably room comfortable also desk office chair table 2 chair snack parking fine free free breakfast greatbagels bread english muffin danish waffle juice coffee cereal fruit family 5 breakfast least 4550 restaurant slightly negative caulking bathtub floor clean looking reason touch anyways would definitely return,positive
booked two room daughter birthday wanted hotel camp family able go swimming since place largest indoor pool grand rapid opted stay booked two room double charged room girl tiny ant crawling,negative
dont treat fancy hotel often decided night birthday could happier wish time enjoy hotel room immaculate loved d��cor even took bath definitely stay want splurge bit,positive
great thanks,positive
family went big rapid tour college chose quality inn price free breakfastour room clean spacious would definitely stay,positive
smaller room residente inn could cleaner great breakfast,positive
always try come stay price good sharon front desk awesome great service go beyond make sure guest happy stay hopefully coming back july catch beach entire staff great mary amber also restaurant great,positive
second building near freeway quiet late evening,positive
horrible horrible horrible staff valet parking terrible temperature room terrible,negative
disappointed dingy appearance hotel lobby smelled strongly curry room dingy well middle night smoke detector started beeping low battery beep came changed fine air conditioner noisy even low breakfast lacking well like waffle coffee juice would good thing going close needed go expensive,neutral
excelente localiza����o funcion��rios atenciosos e hotel primoroso ainda por cima restaurante girat��rio 48�� andar �� maravilhoso n��o deixe de conhecer,positive
enjoyed room beautiful view luxurious nice could used flat screen tv instead old style comfortable mattress bedding comfortable armchair hotel staff helpful even willing return room search lost belonging left gambling fun slot little looser establishment town,positive
paid much hotel,negative
room nice service good view spectacular main disappointment inclusive doesnt apply resteraunts upcharge three nicest eatery activity tennis example dont believe expedia description accurately reflected small print didnt read also must prepared wind pacific side cabo windy time year,positive
town liberty bowl one reasonably priced hotel deluxe suite ton room nice extra room clean bed comfortable staff friendly girl working night went way learn daughter name sweet u overall great experience would stay,positive
requested downstairs lower floor arrived mind called letting know would late getting 3rd floor room dirty wasnt coffee cup water cup roof water damage door sealed sunlight came long heat shower head like slow drip wanted rinse needed fill tub rinse way went get coffee something eat lady spoke spanish little english made two cup coffee read could leave anything go back room walked make waffle spanish lady ran started yelling make pointed sign ah ok might want stay lady keep post fruit little choose took coffee cup room didnt care say would reminded didnt great job room wasnt clean ready guess ever coming back place would refer anyone stay wyndem owns place big reminder didnt go point dont care look want money,negative
wifi hotel quite slow october 14 2013 read,positive
breakfast subpar hot food barely warm coffee awful kept running cream yogurt juice evening reception equally unappetizing free alcoholic beverage tasted bad undrinkable food disgusting cold offering night amenity fitness center pool acceptable none justifies price nearly 185 night,negative
push button,positive
even though hotel downtown area really good breakfast good free bunch coworkers one day allowed u use afternoon breakfast room get together employee really really friendly best could feel like,positive
would like take opportunity express gratitude appreciation staff tps hotel 20 month working project albany ny staff made stay comfortable accommodate sheltie shelby staff wonderful treat every client like,positive
bathroom dirty wall paper falling wall laminate flooring large gap popping bed old linen didnt fit bed broken electrical outlet air conditioner wire hung top sliding glass door black curtain dirty old curtain hanging appeared sort closet wall thin asked turn music cell phone wifi didnt work either,negative
convention never leave building didnt want toconvention hall connected breakfast dinner served 3 free drink fresh popcorn soft drink available day could ask room clean minishampoos hereshampoo conditioner body washall given,positive
went family business conference stay comfortable clean room guest service front desk decent morning free breakfast quality stay good,positive
made reservation 4 dinner w 6 friend arrived 2 lobby twelve seated back restaurant alone lighting temperature much darker colder rest restaurantstrike 1 server greeted u asked u needed drink optimistic ordered drink placed order drink bar actually waited 4 finish instead coming back taking food ordersthis took 20 minstrike 2 came back w drink placed dinner order afterwards went mia food came outstrike 3 meanwhile drink water empty food arrived informed needed drink water refill went get drink didnt see 4 another 20 minstrike 4 came back w drink dropped immediately fled scene wo asking u food turned outstrike 5 ate food friend problem w food regretfully ate 2 20minutes later mgr came 2 ask u service wanting get waiter trouble laughed waited 4 check another 20min passed flagged mgr confessed bad service said needed checkstrike 6 apologized server bring u check slammed check table rolled eye walked itstrike 7 went found mgr told happened 300 bill 50 gratuity tip couldnt let happen mgr adjusted tip total sent back collect money really pised took 1 hr cash table tried see stood register w another waiter told 2 stay nearby bcause may need back 2 handle biches omg couldnt believe mgr walked asked say bad servicein front speechless,negative
husband positive experience doubletree room appearance nice overall satisfied stay bed comfortable enjoyed getting warm chocolate cookie check,positive
good value much better chain good location forgot clean room otherwise complaint typical free breakfast room safe would stay hopefully room clean,positive
excellent staff kind helpful place aura home somehowsmall useful touch cold lemonade great coffee tea apple make like home clean room cleaning staff careful get way location alexandria excellent pharmacy close transport link returning hope metro fixed access dc better given traffic jam city,positive
really nice hotel bed great comfortable breakfast good service excellent back couple week,positive
room portrayed two small child traveling could bring stay went across street mariott courtyard great,positive
luck draw picked monaco downtown alexandria dc always difficult frightening experience along came kimptons hotel monaco alexandria room single king came large flat panel tv prefilled goody shelf fridge free wifi nice lounge plenty room decorating tasteful well done quite comfortable exceptional part hotel however staff obvious well trained house keeping management polite helpful made u feel welcome home location incredible located king st 4 block river one block ferry stop king st main artery run heart old town alexandria setting beautiful relatively quiet shop restaurant side street block history abounds plenty local area without going dc want dc thing free trolley run every 15 min 10am 10pm length king st 20 block drop metro station pick blue line take site want see get including national airport old alexandria comfortable place felt ease walking along king st time day night,positive
clean nice hotel highway bed comfortable room work well traveling,positive
came indiana pa funeral difficult time finding room first one hotel checked full gave number twin pine motel called still room available booked thinking would move one bigger hotel,negative
great remodeling lobby dinning area bot manged well,positive
wife enjoyed hospitality humor front desk staff hotel great condition problem anyone stay appreciate great customer service enjoyed visit,positive
great place bad chef show breakfast morning fault everyone really friendly place comfortable clean,positive
noisy old smelly,negative
resort accommodation service staff excellent room ground clean difficult walk around golf cart always service get around resort would like see adult pool future great trip,positive
価格の割にはいろいろがっかりするホテルである。犬が自由に連れてこれるため常にロビーやエレベーターの中に犬がいる。＝匂いがある。 廊下も部屋もカーペットであるので匂いや汚れが気になる。スタッフはフレンドリーであるがそれ以上のものはない。場所はいいと思う。駅からは遠いが無料のトローリーバスがあるので便利。,positive
friendly helpful staff clean room bath showing age pool area appeared need improvement although using itgood selection dinning near close interstate,positive
great stay,positive
long term stay typically stay extended stay america hotel one far exceeds expectation see previous post remodeled well good feature missed oven dishwasher place fine everyone friendly,positive
clean quiet accessible nice hotel coffee lobby barrestaurant site close many local business restaurant easy access highway room large comfortable found shower nice heard discussion guest,positive
much choose area would advise go another town best town offer found hair sheet pillow mattress beyond shot burn mark carpet dirty trim window worst motel stayed year,negative
always good stay,positive
expecting queen size bed given full size bedsroom small first floor,positive
stay bayside resort nothing short excellent moment entered lobby register left 4 day later treated wonderfully staff helpful courteous friendly went way make u feel special everything clean continental breakfast exceptional couldnt asked one relaxing experience weve cape highly recomend,positive
recently stayed hotel third time coastal virginia winefest night hotel put small wine tasting fantastic room great always amazing view sound ocean woman tending breakfast area saturday phenomenal believe name,positive
thank pool open water warm even though winter clean satisfying,positive
satisfied back another stayi didnt problem little time right,positive
grad student look cost comfort safety howard johnson simple get job done limited option breakfast,positive
cliffrose great place stay clean close park 500 foot visitor center nice creek alongside staff accommodating friendly restaurant unassuming surprisingly good great view patio view room great even though room,positive
wonderful place stay clean staff nice friendly breakfest awesome price good close lot resturants town drive far get anything,positive
love shuttle metro great breakfast,positive
stepped comfort zone decided take trip alone although didnt get hotel 1am young man front desk polite welcoming room clean waking morning site tree log cabin style building great refresher staff always courteous attentive question request hotel located perfectly mountain giving easy access gondola activity within walking distance already booked week stay thanksgiving family would definitely suggest hotel anyone going mountain villagetelluride,positive
meeting friend halfway 2 night lobby area visit room bed 1 desk chair pool outside seating area either opened breakfast room sat tall 2person table bar stool pillow extremely hard uncomfortable front desk try get softer pillow staff nice wanted help friend closet bar hang clothes pillow problem room breakfast room clean,neutral
5 star hotelit first time staying drury inn suite stay enjoyed amenity service friendly staff,positive
wonderful hotel staff highly recommend,positive
spent couple night cliffrose visit zion national park park entrance couldnt convenient set lovely garden sloping river path along river park entrance pool good resturant good couple,positive
reserved three non smoking room two non smoking wasnt room sloppily cleaned bare minimum done got new set sheet front desk one room ac worked one room seriously place need little attention deep cleaning would stayed night gross breakfast good,negative
loved everything hotel staff,positive
resort upgraded room best suite extra charge amazing service 5 star get menu resturants casual still elegant meal home made potato chip cilantroranch salsa major yummy staff knew getting married day treated u like queen king view resort none bad wedding guest great time well,positive
dirty toilet refrigerator didnt cool properly found dirty sock room trash left refrigerator,negative
excellent,positive
nice hotel staff best interacted year accommodation clean,positive
perfecte ligging tov pretpark zeer vriendelijk personeel en prima eten kamer enigszins gedateerd maar netjes mooi zwembad met voldoende ligbedjes,positive
fifth last time several u three room time bug dead alive along moldmildew odor change 2 3 werent much better dismal breakfast microwave roll cereal one bright spot waffles0 worst part one u went bit late breakfast went get cereal milk still rudely told late never,negative
impressed big room arrived felt like apartment week town booked candlewood online knowing suite hotel great experience go back oklahoma march bet staying candlewood,positive
stay anytime working area owner friendly helpful operate clean well maintained motel need anything try assist make stay comfortable possible use computer work night added bonus fast wifi connection faster,positive
stayed tried keep driving scary fancy place sleep nothing around priced gas station scary could cleaner room main section street facing door room older room wasnt horrible,neutral
great time thing breakfast room eat small people sat floor stood took food rooom much cloren hot tub burn eye,positive
stayed one night found hotel basic yet comfortable night twovery close highway yet quiet,positive
room quiet comfortable amenity breakfast pool etc perfect need especially indoor pool jacuzzi staff always friendly helpful ive principally stayed take care family matter local eureka matter require full attention without distraction location always met need fordear valued guest thank taking time complete online review feedback important u glad enjoying staying u hope get chance come back sincerely cassandra george assistant manager comfort inn humboldt bay 7074442019,positive
historic gem heart booming neighborhood la,positive
travel atlanta fort worth several time year usually stop exit spend night several hotel restaurant exit easy hop interstate 20 checked late evening night clerk friendly helpful got,positive
beautiful place,positive
abbiamo soggiornato questo albergo durante il ponte del due giugno il tempo che non stato dei migliori stanza spaziosa non pulitissima colazione servita fuori al freddo,positive
location hotel beautiful set beneath red cliff zion national park 23 min walk zion scenic shuttle 510 min walk center springdale two swimming pool hot tub help relaxing day hiking direct access virgin river cool,positive
hotel mess,positive
fine,neutral
clean timefriendly staff free breakfast,positive
arrived late one night reservation needed get road girl desk extremely helpful even overheard kid saying hoped room top put u top floor kid enjoyed pool decent size room clean,positive
except funky smell every time came mold cleaner wet dog couldnt tell huge bathroom nice little kitchenette would hardly call unenclosed walkway balcony beware although nice quiet area unit open directly onto street unsecure walkway,positive
hotel oki drag luggage long flight stair front desk receiptionist look like live room near office never desk doesent answer incoming call speak people dont care attitude,negative
stay klimpton wont nickel dime wifi room lobby,negative
room clean comfortable great kitchen,positive
